PSA AUTOMOBILES SA	78300	POISSY	50 192 306 000 €
ELECTRICITE DE FRANCE	75008	PARIS 08	44 315 000 000 €
AIRBUS	31700	BLAGNAC	39 036 834 000 €
RENAULT SAS	92100	BOULOGNE BILLANCOURT	37 715 000 000 €
ORANGE	92130	ISSY LES MOULINEAUX	22 602 000 000 €
CSF	14120	MONDEVILLE	22 018 613 636 €
CONTANGO TRADING SA	75013	PARIS 13	20 114 270 580 €
ENGIE	92400	COURBEVOIE	19 272 000 000 €
CMA CGM	13002	Marseille 2e Arrondissement	17 972 700 000 €
TOTALENERGIES MARKETING FRANCE	92000	NANTERRE	16 942 209 000 €
ITM ALIMENTAIRE INTERNATIONAL	75015	PARIS 15	16 676 966 419 €
LA FRANCAISE DES JEUX	92100	BOULOGNE BILLANCOURT	15 940 400 000 €
ENEDIS	92400	Courbevoie	14 494 000 000 €
CARREFOUR HYPERMARCHES	91000	BONDOUFLE	14 216 327 858 €
AUTOMOBILES PEUGEOT	78300	POISSY	12 641 000 219 €
SNCF VOYAGEURS	93200	ST DENIS	12 566 000 000 €
SYSTEME U CENTRALE NATIONALE	94150	RUNGIS	12 358 288 000 €
AUCHAN HYPERMARCHE	59650	Villeneuve-d'Ascq	12 138 000 000 €
SANOFI WINTHROP INDUSTRIE	92160	ANTONY	11 837 000 000 €
LA POSTE    75015	PARIS 15	10 663 000 000 €
TOTAL RAFFINAGE FRANCE	92400	COURBEVOIE	10 596 498 560 €
SOCIETE D'IMPORTATION LECLERC	94200	IVRY SUR SEINE	10 185 659 438 €
ESSO SOCIETE ANONYME FRANCAISE  92400	Courbevoie	10 092 027 000 €
HP FRANCE SAS	92190	MEUDON	9 149 876 000 €
SOCIETE FRANCAISE DU RADIOTELEPHONE - SFR	75015	PARIS 15	8 874 975 828 €
AIRBUS OPERATIONS	31300	TOULOUSE	8 284 000 000 €
SINERGY	94200	IVRY SUR SEINE	7 942 847 814 €
AUTOMOBILES CITROEN	92500	RUEIL MALMAISON	7 806 105 000 €
DISTRIBUTION CASINO FRANCE	42000	Saint-Ã‰tienne	7 753 000 000 €
SAFRAN AIRCRAFT ENGINES	75015	PARIS 15	6 655 415 249 €
LEROY MERLIN FRANCE	59260	LEZENNES	6 607 737 450 €
BOUYGUES TELECOM	75116	PARIS 16	6 575 600 000 €
SNCF RESEAU	93200	ST DENIS	6 233 000 000 €
VOLKSWAGEN GROUP FRANCE	02600	VILLERS COTTERETS	6 057 099 504 €
SOCIETE AIR FRANCE	93290	TREMBLAY EN FRANCE	6 015 000 000 €
OCP REPARTITION	93400	Saint-Ouen	5 759 356 793 €
SCA PETROLE ET DERIVES	75015	PARIS 15	5 598 697 973 €
LOUIS VUITTON MALLETIER	75001	PARIS 01	5 595 000 000 €
RENAULT RETAIL GROUP	92140	CLAMART	4 879 013 290 €
ARCELORMITTAL ATLANTIQUE ET LORRAINE	93210	SAINT DENIS	4 857 241 000 €
L'OREAL	75008	PARIS 08	4 837 800 000 €
DASSAULT AVIATION	75008	Paris 8e Arrondissement	4 816 505 000 €
GLOBAL LNG	92400	COURBEVOIE	4 789 062 343 €
TOTALENERGIES ELECTRICITE ET GAZ FRANCE	75015	PARIS 15	4 780 391 000 €
RTE RESEAU DE TRANSPORT D ELECTRICITE	92800	Puteaux	4 672 266 000 €
PEUGEOT CITROEN SOCHAUX SNC	25600	SOCHAUX	4 608 256 756 €
MANUF FRANC PNEUMATIQ MICHELIN	63000	CLERMONT FERRAND	4 522 654 000 €
MONOPRIX EXPLOIT PAR ABREVIATION MPX	92110	CLICHY	4 211 009 000 €
SCAMARK	94200	IVRY SUR SEINE	4 189 688 140 €
FNAC DARTY PARTICIPATIONS ET SERVICES	94200	IVRY SUR SEINE	4 129 454 647 €
TOTAL SE	92400	COURBEVOIE	3 961 000 000 €
COMPAGNIE D'EXPLOITATION ET DE REPARTITION PHARMACEUTIQUES DE RO	76000	Rouen	3 947 079 231 €
METRO FRANCE	92000	NANTERRE	3 932 491 316 €
ADECCO FRANCE	69100	Villeurbanne	3 869 621 271 €
CORA	77183	CROISSY BEAUBOURG	3 854 072 278 €
RENAULT TRUCKS	69800	ST PRIEST	3 753 000 000 €
SUCRES ET DENREES	75008	PARIS 08	3 649 955 240 €
ALLIANCE HEALTHCARE REPARTITION	92230	GENNEVILLIERS	3 624 506 933 €
CARFUEL	91000	BONDOUFLE	3 547 088 750 €
MERCEDES-BENZ FRANCE	78180	Montigny-le-Bretonneux	3 546 764 246 €
ALSTOM TRANSPORT SA	93400	ST OUEN SUR SEINE	3 537 000 000 €
SCHNEIDER ELECTRIC INDUSTRIES SAS	92500	RUEIL MALMAISON	3 408 651 647 €
SONY EUROPE B.V.	00000	ROYAUME UNI	3 406 000 000 €
PSA RETAIL FRANCE SAS	78300	Poissy	3 376 687 129 €
GRDF	75009	PARIS 09	3 308 329 000 €
NAVAL GROUP	75015	PARIS 15	3 291 152 000 €
FREE	75008	PARIS 8	3 266 498 000 €
HERMES SELLIER	75008	PARIS 8	3 207 818 539 €
AIRBUS HELICOPTERS	13700	MARIGNANE	3 119 000 000 €
ARCELORMITTAL FRANCE	93210	ST DENIS	3 115 332 000 €
AUCHAN SUPERMARCHE	59170	CROIX	3 075 290 675 €
SANOFI-AVENTIS GROUPE	75008	PARIS 8E ARRONDISSEMENT	2 939 000 000 €
MANPOWER FRANCE	92000	NANTERRE	2 927 747 000 €
FRANCE TELEVISIONS	75015	PARIS 15	2 893 790 000 €
DECATHLON FRANCE	59650	VILLENEUVE D'ASCQ	2 875 453 631 €
GROUPE LACTALIS	53000	LAVAL	2 843 593 034 €
BOULANGER	59810	LESQUIN	2 830 247 991 €
TOTAL PETROCHEMICALS FRANCE	92400	COURBEVOIE	2 827 919 952 €
MEUBLES IKEA FRANCE	78370	PLAISIR	2 803 014 900 €
ITM ALIMENTAIRE CENTRE EST	75015	PARIS 15E ARRONDISSEMENT	2 802 713 774 €
